"Code","Name","Value","ValueTypeName"
AcceptApprovalWithoutComment,Accept approval without comment,"",Boolean
AccountCodeMask,Account code mask,{0},LongText
AccountEnrichmentServiceUrl,Account enrichment service url,"",LongText
AccountLastNumber,Current number of account,"",Integer
AccountTypeForOurCompany,Account type for creating users,"",Lookup
ActiveContactsWarningThreshold,"Активные контакты - условие предупреждения, %","",Integer
ActiveFileContentStorage,Active file content storage,"",Lookup
ActualizeAge,Enable updating contact ages,"",Boolean
AISupportEmailDef,Emails to connect AI support,"",MediumText
AllowedTimeForProcessInErrorState,"Allowed time for process instances in the ""Error"" state (days)","",Integer
AllowFilesWithUnknownType,Allow processing files of unknown type,"",Boolean
AllowSaveUnlockedSchema,Configuration items can be saved without locking,"",Boolean
AltCaseBindingRegex,Регулярное выражение для привязки писем,"",MediumText
ApiUrl,Object generation URL api,https://files.cloudbpm.ru/Delivery/js/create-object.js,LongText
AppModule,TsConfig for Angular module,"import { NgModule } from '@angular/core'; import { testComponent } from 'src/components/test.module'; @NgModule({     declarations: [],     imports: [testComponent],     providers: [] }) export class ComponentModule {}",MaxSizeText
AreConfiguredChats,Are configured chats,"",Boolean
AreConfiguredChats,Are configured chats,"",Boolean
AuditLogCulture,Audit log culture,"",Lookup
AuthenticationTime,BPMSoftOCCAuthenticationTime,"",Integer
AutomaticAgeActualizationTime,Time of automatic daily update of the contact ages,"",Time
AutoNotifyOnlyContact,Отправлять автоматические уведомления только контакту обращения,"",Boolean
BaseCalendar,Базовый календарь,"",Lookup
BasePriceList,Базовый прайс-лист,"",Lookup
BaseRightGridPage,Base permissions page,"",Lookup
BaseUserCalendar,Base personal calendar,"",Lookup
BETArchiveFirstGenerationPeriod,BulkEmailTarget Archiving First Generation Period (Days),"",Integer
BETArchiveSecondGenerationPeriod,BulkEmailTarget Archiving Second Generation Period (Days),"",Integer
BETArchivingIterationSize,BulkEmailTarget Archiving Iteration Size,"",Integer
BpmAuthKey,Ключ аутентификации трекинга (секретный),"",ShortText
BpmCrmExchangeEventsEndpointUrl,URL сервиса обработки событий Exchange в BPMSoft,https://10.1.134.130:5002/ServiceModel/ExchangeListenerService.svc/ProcessFullEmail,Text
BpmCrmSignatureKey,BpmCrm signature key,bpmcrm-signature,MediumText
BpmEventTrackingServiceUrl,Внешний URL приложения для получения событий сайта,"",MediumText
bpmsoftoccAuthLink,bpmsoftoccAuthLink,https://domain.bpmcrm.com,MaxSizeText
BPMSoftOCCChatCodeMask,BPMSoftOCCChatCodeMask,Chat-{0:0000000},ShortText
BPMSoftOCCChatLastNumber,BPMSoftOCCChatLastNumber,"",Integer
BPMSoftOCCFBclientId,BPMSoftOCCFBclientId,"2216527901956864",LongText
BPMSoftOCCFBclientId,BPMSoftOCCFBclientId,"2216527901956864",LongText
BPMSoftOCCFBclientSecret,BPMSoftOCCFBclientSecret,"995120b3d58e0fc713f2c428bf03a330",LongText
BPMSoftOCCFBclientSecret,BPMSoftOCCFBclientSecret,"995120b3d58e0fc713f2c428bf03a330",LongText
BPMSoftOCCFBLService,BPMSoftOCCFBLService,https://bpmsoft-oc-connector1.cloudbpm.ru/fblogin/3.2/2216527901956864/995120b3d58e0fc713f2c428bf03a330,LongText
BPMSoftOCCFBLService,BPMSoftOCCFBLService,https://bpmsoft-oc-connector1.cloudbpm.ru/fblogin/3.2/2216527901956864/995120b3d58e0fc713f2c428bf03a330,LongText
BPMSoftOCCFileServer,"",https://bpmsoft-oc-fileservice1.cloudbpm.ru,LongText
BPMSoftOCCFirstMsgRoute,BPMSoftOCCFirstMsgRoute,"",Boolean
BPMSoftOCCGroupChatCodeMask,"",GroupChat-{0:0000000},ShortText
BPMSoftOCCGroupChatLastNumber,"","",Integer
BPMSoftOCCInstagramService,BPMSoftOCCInstagramService,https://bpmsoft-oc-connector1.cloudbpm.ru/fblogin/instagram/12.0/581455576300934/2e74f0c0430196ec706e09d2328da57e,LongText
